"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"3.7";;;
2;"C1, C4";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"4.7 uF";;;
3;"C5";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"10 uF";;;
4;"C6";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"0.1uF";;;
5;"C7, C8";"C_0805_2012Metric";2;"1 uF";;;
6;"D1, D2, D3";"LED_1210_3225Metric";3;"LED";;;
7;"IC1";"NCP186AMX330TAG";1;"NCP186AMX330TAG";;;
8;"J1";"PinSocket_1x14_P2.54mm_Vertical";1;"Conn_01x14_Socket";;;
9;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
10;"J3";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
11;"R1, R2, R6";"R_1210_3225Metric";3;"470";;;
12;"R3, R4";"R_1210_3225Metric";2;"10K";;;
13;"R5, R10";"R_1210_3225Metric";2;"5.1k";;;
14;"R7";"R_1210_3225Metric";1;"1.5k";;;
15;"R8, R9";"R_1210_3225Metric";2;"10k";;;
16;"SW3, SW4";"SW_SPST_CK_RS282G05A3";2;"SW_Push";;;
17;"U1";"ESP32-S2-MINI-1";1;"ESP32-S3-MINI-1";;;
18;"U4";"Texas_DRT-3";1;"TPD2EUSB30";;;
19;"U5";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"MCP73871";;;
